model,coverage,risk
VGG16,0.305625,0.012269938650306749
VGG16,0.30625,0.012244897959183673
VGG16,0.306875,0.012219959266802444
VGG16,0.3075,0.012195121951219513
VGG16,0.308125,0.012170385395537525
VGG16,0.30875,0.012145748987854251
VGG16,0.309375,0.012121212121212121
VGG16,0.31,0.012096774193548387
VGG16,0.310625,0.012072434607645875
VGG16,0.31125,0.012048192771084338
VGG16,0.311875,0.012024048096192385
VGG16,0.3125,0.012
VGG16,0.313125,0.011976047904191617
VGG16,0.31375,0.01195219123505976
VGG16,0.314375,0.011928429423459244
VGG16,0.315,0.011904761904761904
VGG16,0.315625,0.011881188118811881
VGG16,0.31625,0.011857707509881422
VGG16,0.316875,0.011834319526627219
VGG16,0.3175,0.011811023622047244
VGG16,0.318125,0.011787819253438114
VGG16,0.31875,0.011764705882352941
VGG16,0.319375,0.011741682974559686
VGG16,0.32,0.01171875
VGG16,0.320625,0.011695906432748537
VGG16,0.32125,0.013618677042801557
VGG16,0.321875,0.013592233009708738
VGG16,0.3225,0.013565891472868217
VGG16,0.323125,0.013539651837524178
VGG16,0.32375,0.013513513513513514
VGG16,0.324375,0.01348747591522158
VGG16,0.325,0.013461538461538462
VGG16,0.325625,0.013435700575815739
VGG16,0.32625,0.013409961685823755
VGG16,0.326875,0.01338432122370937
VGG16,0.3275,0.013358778625954198
VGG16,0.328125,0.013333333333333334
VGG16,0.32875,0.013307984790874524
VGG16,0.329375,0.013282732447817837
VGG16,0.33,0.013257575757575758
VGG16,0.330625,0.013232514177693762
VGG16,0.33125,0.013207547169811321
VGG16,0.331875,0.013182674199623353
VGG16,0.3325,0.013157894736842105
VGG16,0.333125,0.013133208255159476
VGG16,0.33375,0.013108614232209739
VGG16,0.334375,0.013084112149532711
VGG16,0.335,0.013059701492537313
VGG16,0.335625,0.01303538175046555
VGG16,0.33625,0.013011152416356878
VGG16,0.336875,0.012987012987012988
VGG16,0.3375,0.012962962962962963
VGG16,0.338125,0.012939001848428836
VGG16,0.33875,0.012915129151291513
VGG16,0.339375,0.01289134438305709
VGG16,0.34,0.012867647058823529
VGG16,0.340625,0.012844036697247707
VGG16,0.34125,0.01282051282051282
VGG16,0.341875,0.012797074954296161
VGG16,0.3425,0.012773722627737226
VGG16,0.343125,0.012750455373406194
VGG16,0.34375,0.012727272727272728
VGG16,0.344375,0.012704174228675136
VGG16,0.345,0.012681159420289856
VGG16,0.345625,0.012658227848101266
VGG16,0.34625,0.01263537906137184
VGG16,0.346875,0.012612612612612612
VGG16,0.3475,0.012589928057553957
VGG16,0.348125,0.012567324955116697
VGG16,0.34875,0.012544802867383513
VGG16,0.349375,0.012522361359570662
VGG16,0.35,0.0125
VGG16,0.350625,0.012477718360071301
VGG16,0.35125,0.012455516014234875
VGG16,0.351875,0.012433392539964476
VGG16,0.3525,0.012411347517730497
VGG16,0.353125,0.012389380530973451
VGG16,0.35375,0.012367491166077738
VGG16,0.354375,0.012345679012345678
VGG16,0.355,0.01232394366197183
VGG16,0.355625,0.012302284710017574
VGG16,0.35625,0.012280701754385965
VGG16,0.356875,0.012259194395796848
VGG16,0.3575,0.012237762237762238
VGG16,0.358125,0.012216404886561954
VGG16,0.35875,0.012195121951219513
VGG16,0.359375,0.01217391304347826
VGG16,0.36,0.012152777777777778
VGG16,0.360625,0.012131715771230503
VGG16,0.36125,0.012110726643598616
VGG16,0.361875,0.012089810017271158
VGG16,0.3625,0.01206896551724138
VGG16,0.363125,0.012048192771084338
VGG16,0.36375,0.012027491408934709
VGG16,0.364375,0.012006861063464836
VGG16,0.365,0.011986301369863013
VGG16,0.365625,0.011965811965811967
VGG16,0.36625,0.011945392491467578
VGG16,0.366875,0.01192504258943782
VGG16,0.3675,0.011904761904761904
VGG16,0.368125,0.011884550084889643
VGG16,0.36875,0.011864406779661017
VGG16,0.369375,0.011844331641285956
VGG16,0.37,0.011824324324324325
VGG16,0.370625,0.011804384485666104
VGG16,0.37125,0.011784511784511785
VGG16,0.371875,0.011764705882352941
VGG16,0.3725,0.01174496644295302
VGG16,0.373125,0.011725293132328308
VGG16,0.37375,0.011705685618729096
VGG16,0.374375,0.011686143572621035
VGG16,0.375,0.011666666666666667
VGG16,0.375625,0.011647254575707155
VGG16,0.37625,0.011627906976744186
VGG16,0.376875,0.011608623548922056
VGG16,0.3775,0.011589403973509934
VGG16,0.378125,0.011570247933884297
VGG16,0.37875,0.01155115511551155
VGG16,0.379375,0.011532125205930808
VGG16,0.38,0.011513157894736841
VGG16,0.380625,0.011494252873563218
VGG16,0.38125,0.011475409836065573
VGG16,0.381875,0.011456628477905073
VGG16,0.3825,0.011437908496732025
VGG16,0.383125,0.011419249592169658
VGG16,0.38375,0.011400651465798045
VGG16,0.384375,0.011382113821138212
VGG16,0.385,0.011363636363636364
VGG16,0.385625,0.011345218800648298
VGG16,0.38625,0.011326860841423949
VGG16,0.386875,0.011308562197092083
VGG16,0.3875,0.01129032258064516
VGG16,0.388125,0.011272141706924315
VGG16,0.38875,0.011254019292604502
VGG16,0.389375,0.011235955056179775
VGG16,0.39,0.011217948717948718
VGG16,0.390625,0.0112
VGG16,0.39125,0.011182108626198083
VGG16,0.391875,0.011164274322169059
VGG16,0.3925,0.011146496815286623
VGG16,0.393125,0.011128775834658187
VGG16,0.39375,0.011111111111111112
VGG16,0.394375,0.011093502377179081
VGG16,0.395,0.011075949367088608
VGG16,0.395625,0.011058451816745656
VGG16,0.39625,0.011041009463722398
VGG16,0.396875,0.011023622047244094
VGG16,0.3975,0.0110062893081761
VGG16,0.398125,0.01098901098901099
VGG16,0.39875,0.0109717868338558
VGG16,0.399375,0.010954616588419406
VGG16,0.4,0.0109375
VGG16,0.400625,0.0109204368174727
VGG16,0.40125,0.010903426791277258
VGG16,0.401875,0.01088646967340591
VGG16,0.4025,0.010869565217391304
VGG16,0.403125,0.010852713178294573
VGG16,0.40375,0.010835913312693499
VGG16,0.404375,0.010819165378670788
VGG16,0.405,0.010802469135802469
VGG16,0.405625,0.01078582434514638
VGG16,0.40625,0.010769230769230769
VGG16,0.406875,0.010752688172043012
VGG16,0.4075,0.010736196319018405
VGG16,0.408125,0.010719754977029096
VGG16,0.40875,0.010703363914373088
VGG16,0.409375,0.010687022900763359
VGG16,0.41,0.010670731707317074
VGG16,0.410625,0.0106544901065449
VGG16,0.41125,0.010638297872340425
VGG16,0.411875,0.010622154779969651
VGG16,0.4125,0.010606060606060607
VGG16,0.413125,0.01059001512859304
VGG16,0.41375,0.010574018126888218
VGG16,0.414375,0.010558069381598794
VGG16,0.415,0.010542168674698794
VGG16,0.415625,0.010526315789473684
VGG16,0.41625,0.010510510510510511
VGG16,0.416875,0.010494752623688156
VGG16,0.4175,0.010479041916167664
VGG16,0.418125,0.01046337817638266
VGG16,0.41875,0.010447761194029851
VGG16,0.419375,0.010432190760059613
VGG16,0.42,0.010416666666666666
VGG16,0.420625,0.010401188707280832
VGG16,0.42125,0.010385756676557863
VGG16,0.421875,0.01037037037037037
VGG16,0.4225,0.010355029585798817
VGG16,0.423125,0.0103397341211226
VGG16,0.42375,0.01032448377581121
VGG16,0.424375,0.010309278350515464
VGG16,0.425,0.010294117647058823
VGG16,0.425625,0.010279001468428781
VGG16,0.42625,0.010263929618768328
VGG16,0.426875,0.010248901903367497
VGG16,0.4275,0.01023391812865497
VGG16,0.428125,0.010218978102189781
VGG16,0.42875,0.01020408163265306
VGG16,0.429375,0.010189228529839884
VGG16,0.43,0.010174418604651164
VGG16,0.430625,0.010159651669085631
VGG16,0.43125,0.010144927536231883
VGG16,0.431875,0.010130246020260492
VGG16,0.4325,0.010115606936416185
VGG16,0.433125,0.010101010101010102
VGG16,0.43375,0.010086455331412104
VGG16,0.434375,0.010071942446043165
VGG16,0.435,0.010057471264367816
VGG16,0.435625,0.010043041606886656
VGG16,0.43625,0.01002865329512894
VGG16,0.436875,0.010014306151645207
VGG16,0.4375,0.01
VGG16,0.438125,0.009985734664764621
VGG16,0.43875,0.009971509971509971
VGG16,0.439375,0.00995732574679943
VGG16,0.44,0.009943181818181818
VGG16,0.440625,0.009929078014184398
VGG16,0.44125,0.009915014164305949
VGG16,0.441875,0.009900990099009901
VGG16,0.4425,0.009887005649717515
VGG16,0.443125,0.009873060648801129
VGG16,0.44375,0.009859154929577466
VGG16,0.444375,0.009845288326300985
VGG16,0.445,0.009831460674157303
VGG16,0.445625,0.009817671809256662
VGG16,0.44625,0.00980392156862745
VGG16,0.446875,0.009790209790209791
VGG16,0.4475,0.009776536312849162
VGG16,0.448125,0.009762900976290097
VGG16,0.44875,0.009749303621169917
VGG16,0.449375,0.009735744089012517
VGG16,0.45,0.009722222222222222
VGG16,0.450625,0.009708737864077669
VGG16,0.45125,0.009695290858725761
VGG16,0.451875,0.009681881051175657
VGG16,0.4525,0.009668508287292817
VGG16,0.453125,0.009655172413793104
VGG16,0.45375,0.009641873278236915
VGG16,0.454375,0.009628610729023384
VGG16,0.455,0.009615384615384616
